Cena,Cena za m²,Czynsz (dodatkowo),Finanse,Liczba pokoi,Link,Miejsce,Oferta od,Powierzchnia,Poziom,Rodzaj zabudowy,Rynek,Umeblowane,Miasto
1 350 zł,,1 zł,,2 pokoje,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Śródmieście",Biuro / Deweloper,35 m²,4,Blok,,Nie,gliwice
no data,,,,2 pokoje,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Trynek",Osoby prywatnej,48 m²,2,Blok,,Tak,gliwice
219 000 złDo negocjacji,7064.52 zł/m²,,Otwórz konto w promocji >>,1 pokój,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Wojska Polskiego",Osoby prywatnej,31 m²,2,Blok,Wtórny,Tak,gliwice
267 000 złDo negocjacji,5316.61 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Śródmieście",Osoby prywatnej,"50,22 m²",1,Kamienica,Wtórny,Nie,gliwice
199 000 złDo negocjacji,4138.07 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Trynek",Osoby prywatnej,"48,09 m²",Parter,Blok,Wtórny,Nie,gliwice
1 500 zł,,"0,10 zł",,2 pokoje,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Sikornik",Biuro / Deweloper,42 m²,2,Blok,,Tak,gliwice
165 000 zł,3000 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Politechnika",Biuro / Deweloper,55 m²,2,Kamienica,Wtórny,Nie,gliwice
950 zł,,1 zł,,Kawalerka,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Politechnika",Osoby prywatnej,35 m²,Parter,Kamienica,,Tak,gliwice
2 100 zł,,400 zł,,2 pokoje,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Sikornik",Osoby prywatnej,48 m²,1,Apartamentowiec,,Tak,gliwice
2 800 zł,,"0,10 zł",,3 pokoje,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Stare Gliwice",Biuro / Deweloper,74 m²,4,Apartamentowiec,,Tak,gliwice
2 490 zł,,"0,10 zł",,2 pokoje,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Politechnika",Biuro / Deweloper,48 m²,2,Apartamentowiec,,Tak,gliwice
1 500 zł,,1 zł,,Kawalerka,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Obrońców Pokoju",Biuro / Deweloper,36 m²,1,Blok,,Tak,gliwice
1 050 zł,,1 zł,,2 pokoje,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Politechnika",Biuro / Deweloper,33 m²,3,Blok,,Nie,gliwice
2 300 złDo negocjacji,,1 zł,,2 pokoje,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Śródmieście",Osoby prywatnej,52 m²,2,Apartamentowiec,,Tak,gliwice
350 000 zł,5833.33 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Sośnica",Osoby prywatnej,60 m²,3,Kamienica,Wtórny,Nie,gliwice
155 000 zł,8611.11 zł/m²,,Otwórz konto w promocji >>,1 pokój,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Politechnika",Biuro / Deweloper,18 m²,1,Apartamentowiec,Pierwotny,Nie,gliwice
1 300 zł,,1 zł,,Kawalerka,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Trynek",Osoby prywatnej,37 m²,2,Blok,,Tak,gliwice
1 250 złDo negocjacji,,1 zł,,Kawalerka,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Śródmieście",Osoby prywatnej,25 m²,Parter,Kamienica,,Tak,gliwice
2 000 zł,,1 zł,,3 pokoje,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Szobiszowice",Osoby prywatnej,68 m²,Parter,Kamienica,,Tak,gliwice
189 000 zł,4108.7 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Łabędy",Osoby prywatnej,46 m²,2,Blok,Wtórny,Nie,gliwice
950 zł,,350 zł,,Kawalerka,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Sikornik",Osoby prywatnej,27 m²,1,Blok,,Tak,gliwice
1 100 zł,,"0,01 zł",,Kawalerka,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Śródmieście",Biuro / Deweloper,"37,33 m²",Parter,Kamienica,,Tak,gliwice
150 000 złDo negocjacji,5000 zł/m²,,Otwórz konto w promocji >>,1 pokój,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Zatorze",Osoby prywatnej,30 m²,5,Blok,Wtórny,Nie,gliwice
1 600 zł,,1 zł,,2 pokoje,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Trynek",Osoby prywatnej,38 m²,7,Blok,,Tak,gliwice
1 990 zł,,1 zł,,3 pokoje,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Politechnika",Biuro / Deweloper,60 m²,3,Blok,,Tak,gliwice
1 750 zł,,1 zł,,Kawalerka,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Sikornik",Biuro / Deweloper,28 m²,1,Blok,,Tak,gliwice
2 900 zł,,"0,10 zł",,4 i więcej,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Śródmieście",Biuro / Deweloper,65 m²,3,Apartamentowiec,,Tak,gliwice
2 000 zł,,350 zł,,2 pokoje,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Politechnika",Osoby prywatnej,38 m²,3,Apartamentowiec,,Tak,gliwice
1 100 zł,,1 zł,,Kawalerka,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Trynek",Osoby prywatnej,26 m²,8,Blok,,Tak,gliwice
1 700 zł,,"0,10 zł",,2 pokoje,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Szobiszowice",Biuro / Deweloper,45 m²,9,Blok,,Nie,gliwice
1 650 zł,,"0,10 zł",,2 pokoje,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Śródmieście",Biuro / Deweloper,63 m²,3,Kamienica,,Tak,gliwice
250 000 złDo negocjacji,3709.2 zł/m²,,Otwórz konto w promocji >>,3 pokoje,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Sikornik",Biuro / Deweloper,"67,40 m²",2,Blok,Wtórny,Nie,gliwice
2 400 zł,,1 zł,,2 pokoje,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Stare Gliwice",Osoby prywatnej,54 m²,4,Blok,,Tak,gliwice
1 450 złDo negocjacji,,270 zł,,2 pokoje,https://www.olx.pl/oferta/mieszkanie-3-poziomowe-100m2-kolo-rynku-centrum-gliwic-CID3-IDENquW.html#5b09f92eec,"Gliwice, Śląskie, Szobiszowice",Osoby prywatnej,36 m²,2,Blok,,Tak,gliwice
1 000 zł,,400 zł,,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,"37,50 m²",Parter,Blok,,Tak,zabrze
1 600 zł,,1 zł,,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,49 m²,2,Blok,,Tak,zabrze
198 000 zł,5076.92 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,39 m²,4,Blok,Wtórny,Nie,zabrze
185 500 złDo negocjacji,5300 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,35 m²,2,Blok,Wtórny,Tak,zabrze
1 000 zł,,300 zł,,Kawalerka,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,32 m²,1,Kamienica,,Tak,zabrze
1 100 zł,,1 zł,,Kawalerka,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,32 m²,Parter,Blok,,Tak,zabrze
240 000 zł,3453.73 zł/m²,,Otwórz konto w promocji >>,3 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,"69,49 m²",4,Blok,Wtórny,Nie,zabrze
980 zł,,320 zł,,Kawalerka,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,37 m²,3,Kamienica,,Tak,zabrze
1 000 zł,,500 zł,,3 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,48 m²,2,Blok,,Tak,zabrze
1 000 zł,,140 zł,,Kawalerka,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,12 m²,2,Kamienica,,Tak,zabrze
190 000 złDo negocjacji,3551.4 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,"53,50 m²",2,Kamienica,Wtórny,Nie,zabrze
1 000 zł,,374 zł,,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,37 m²,1,Blok,,Tak,zabrze
1 290 zł,,1 zł,,Kawalerka,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,34 m²,3,Blok,,Nie,zabrze
1 000 zł,,1 zł,,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,53 m²,4,Blok,,Tak,zabrze
163 000 złDo negocjacji,3622.22 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,45 m²,3,Blok,Wtórny,Nie,zabrze
1 000 zł,,1 zł,,Kawalerka,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,"33,30 m²",2,Kamienica,,Tak,zabrze
80 000 zł,2580.65 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Biuro / Deweloper,31 m²,Parter,Kamienica,Wtórny,Nie,zabrze
800 zł,,600 zł,,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,"50,50 m²",3,Blok,,Tak,zabrze
1 200 zł,,200 zł,,Kawalerka,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,40 m²,2,Kamienica,,Tak,zabrze
1 400 zł,,200 zł,,Kawalerka,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,40 m²,1,Kamienica,,Tak,zabrze
1 400 zł,,430 zł,,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,51 m²,4,Blok,,Tak,zabrze
1 500 zł,,1 zł,,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,45 m²,1,Kamienica,,Tak,zabrze
1 000 złDo negocjacji,,600 zł,,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,54 m²,5,Blok,,Tak,zabrze
1 000 zł,,1 000 zł,,Kawalerka,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Biuro / Deweloper,33 m²,1,Apartamentowiec,,Tak,zabrze
1 500 zł,,1 500 zł,,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,48 m²,1,Blok,,Tak,zabrze
180 000 złDo negocjacji,4800 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,"37,50 m²",3,Blok,Wtórny,Tak,zabrze
10 zł,,220 zł,,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,38 m²,,Kamienica,,Nie,zabrze
1 250 złDo negocjacji,,1 zł,,Kawalerka,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,20 m²,1,Kamienica,,Tak,zabrze
380 zł,,"0,01 zł",,3 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,48 m²,3,Blok,,Tak,zabrze
1 100 złDo negocjacji,,400 zł,,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,38 m²,4,Blok,,Tak,zabrze
1 200 złDo negocjacji,,470 zł,,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,37 m²,3,Blok,,Tak,zabrze
163 000 złDo negocjacji,3622.22 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,45 m²,3,Blok,Wtórny,Nie,zabrze
1 000 zł,,400 zł,,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,"37,50 m²",Parter,Blok,,Tak,zabrze
198 000 zł,5076.92 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,39 m²,4,Blok,Wtórny,Nie,zabrze
185 500 złDo negocjacji,5300 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,35 m²,2,Blok,Wtórny,Tak,zabrze
1 250 złDo negocjacji,,1 zł,,Kawalerka,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,20 m²,1,Kamienica,,Tak,zabrze
149 000 zł,4027.03 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,37 m²,1,Kamienica,Wtórny,Tak,zabrze
1 300 zł,,220 zł,,Kawalerka,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,39 m²,2,Blok,,Tak,zabrze
980 zł,,370 zł,,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Biuro / Deweloper,36 m²,4,Blok,,Tak,zabrze
299 zł,,50 zł,,3 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,67 m²,Parter,Kamienica,,Tak,zabrze
1 000 zł,,300 zł,,Kawalerka,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,32 m²,1,Kamienica,,Tak,zabrze
800 zł,,575 zł,,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,47 m²,3,Blok,,Tak,zabrze
105 000 zł,2916.67 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,36 m²,2,Kamienica,Wtórny,Nie,zabrze
135 000 zł,3461.54 zł/m²,,Otwórz konto w promocji >>,1 pokój,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,39 m²,2,Kamienica,Wtórny,Tak,zabrze
1 200 zł,,100 zł,,Kawalerka,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,27 m²,Parter,Apartamentowiec,,Tak,zabrze
700 zł,,1 zł,,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,53 m²,1,Blok,,Tak,zabrze
no data,,,,3 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,54 m²,Parter,Blok,,Nie,zabrze
800 złDo negocjacji,,1 zł,,Kawalerka,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,16 m²,1,Blok,,Tak,zabrze
2 000 zł,,2 000 zł,,3 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,100 m²,2,Kamienica,,Tak,zabrze
1 400 zł,,1 zł,,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,36 m²,Parter,Blok,,Tak,zabrze
1 500 zł,,1 500 zł,,3 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,60 m²,Parter,Kamienica,,Tak,zabrze
265 000 złDo negocjacji,4140.63 zł/m²,,Otwórz konto w promocji >>,3 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,64 m²,9,Blok,Wtórny,Tak,zabrze
79 000 zł,3640.55 zł/m²,,Otwórz konto w promocji >>,1 pokój,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,"21,70 m²",4,Blok,Wtórny,Tak,zabrze
3 250 złDo negocjacji,,1 zł,,4 i więcej,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,76 m²,,Pozostałe,,Tak,zabrze
1 600 zł,,1 zł,,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,49 m²,2,Blok,,Tak,zabrze
no data,,,,1 pokój,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,33 m²,4,Blok,,Tak,zabrze
800 zł,,"0,10 zł",,Kawalerka,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,34 m²,Parter,Kamienica,,Tak,zabrze
1 000 zł,,180 zł,,Kawalerka,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,37 m²,1,Kamienica,,Tak,zabrze
no data,,,,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,42 m²,2,Blok,,Nie,zabrze
163 000 złDo negocjacji,3622.22 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,45 m²,3,Blok,Wtórny,Nie,zabrze
1 000 zł,,1 000 zł,,Kawalerka,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Biuro / Deweloper,33 m²,1,Apartamentowiec,,Tak,zabrze
1 000 zł,,400 zł,,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,"37,50 m²",Parter,Blok,,Tak,zabrze
198 000 zł,5076.92 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,39 m²,4,Blok,Wtórny,Nie,zabrze
185 500 złDo negocjacji,5300 zł/m²,,Otwórz konto w promocji >>,2 pokoje,https://www.olx.pl/oferta/tanie-i-ladne-mieszkanie-do-wynajecia-CID3-IDEMu1r.html#0a77fc9db2,"Zabrze, Śląskie",Osoby prywatnej,35 m²,2,Blok,Wtórny,Tak,zabrze
